dataset,location,model_type,model_label,seed,split_seed,rain_forcing,prediction_mode,lead_minutes,threshold_m,csi,pod,far,f1,false_positive_rate,persistence_csi,persistence_pod,persistence_far,persistence_f1,persistence_false_positive_rate
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,5,0.05,0.9314387211367673,0.9432571706368498,0.013273121166814146,0.9645024829869413,0.0015663445958110785,0.9234984825346504,0.9289936801166747,0.006364458865004836,0.9602279293901281,0.0007345616035527816
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,5,0.1,0.9226844702818906,0.9332669780261849,0.012140171161825726,0.9597877182069433,0.0008602323431281907,0.9001021543903518,0.9039889748105046,0.0047541177065596706,0.9474250132400379,0.0003238791999494657
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,5,0.2,0.9080805680948233,0.9248286059954295,0.019552515319937295,0.9518262313226342,0.0007632356295303208,0.8660321715817695,0.8684769458260518,0.003239940755369045,0.9282071175093027,0.00011682178003015115
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,5,0.3,0.8932985275523107,0.9172809515831798,0.028435808712625323,0.9436425524580981,0.0007027553271265749,0.8437696072280085,0.8448651365387837,0.0015344255803593527,0.9152657728169877,3.3986607084124524e-05
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,15,0.05,0.8157110521259099,0.8670411174673509,0.06766553440975293,0.8985031524380948,0.008862177358118015,0.8116672514269577,0.820869429755857,0.013623269792739109,0.8960445145626482,0.001596678907871627
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,15,0.1,0.8051231354489939,0.8332987954928118,0.04030369475395654,0.892042342860708,0.003146287218062623,0.7540115883191798,0.760134697578034,0.010570325539052886,0.8597566781662235,0.0007300969969375517
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,15,0.2,0.7859224895311602,0.8115263146739016,0.03859481719566091,0.8801305702102227,0.0017292570720088747,0.6759391846361186,0.6803662646516458,0.00953468279437176,0.8066392752585221,0.0003476515518872754
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,15,0.3,0.7584365209607639,0.7971837169917833,0.060226264418811,0.8626259883937965,0.0018017639368486718,0.629461632308318,0.6310606535783729,0.004009305548680889,0.7726007410393749,8.959047199800026e-05
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,30,0.05,0.7230556784512462,0.8144859248519996,0.1343872883396196,0.8392714031170003,0.020839555582103816,0.6993339181373497,0.7103494623655914,0.021693237242483804,0.823068274778972,0.0025959221870457756
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,30,0.1,0.6995364310108954,0.7567691308467935,0.09756345306568139,0.8232085152711984,0.009125012914434598,0.6141999367955335,0.6208115503785177,0.017044017735219245,0.7609961105745386,0.0012005970922037191
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,30,0.2,0.6697622019912919,0.7042871321999168,0.06820011013682382,0.8022246535375638,0.003686175924463158,0.5045513654096229,0.5093330771939936,0.0182670945445569,0.6707000864304236,0.000677706878037947
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,30,0.3,0.6474208182811056,0.6873369456150913,0.08231616552545401,0.7859811058556548,0.0031027219792785304,0.44571619068785423,0.4471871028162419,0.007325644706231748,0.6166026133743274,0.00016607698116933905
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,60,0.05,0.6513828085536285,0.808450612244898,0.22973923107076413,0.7888937745744674,0.04716334025227527,0.595591200322595,0.60768,0.032321467569338284,0.7465461080534651,0.003969982436532013
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,60,0.1,0.6268235925892778,0.7155799260936941,0.16518992371265098,0.7706104035430363,0.020316313890103768,0.4862776423106029,0.49242204928222333,0.025018122966434582,0.6543563981149901,0.0018129530855630783
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,60,0.2,0.5780048981668982,0.6280224400695781,0.12110269224568757,0.7325768111852404,0.008846066432640007,0.3608003835266186,0.36412123166952737,0.0246544063194273,0.5302767222795407,0.0009408955111394257
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,60,0.3,0.5516766630316249,0.5944274719464191,0.11532996699237108,0.7110716764326063,0.006078929297305269,0.29212463594186777,0.2931672639680395,0.012027916646042667,0.4521616999105191,0.00027998101198733517
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,5,0.05,0.9345607402918458,0.9446378220709771,0.011285808782374193,0.9661735822787957,0.0013310928404248934,0.9234984825346504,0.9289936801166747,0.006364458865004836,0.9602279293901281,0.0007345616035527816
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,5,0.1,0.924095255386105,0.9352882627670163,0.012784871504768062,0.9605504226459602,0.0009084696707802388,0.9001021543903518,0.9039889748105046,0.0047541177065596706,0.9474250132400379,0.0003238791999494657
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,5,0.2,0.9089497236114767,0.9283774700900659,0.022504670780728077,0.9523034707188263,0.0008845077630854301,0.8660321715817695,0.8684769458260518,0.003239940755369045,0.9282071175093027,0.00011682178003015115
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,5,0.3,0.8892261615671038,0.9202127659574468,0.036486427224488006,0.9413654962617023,0.0009121566804513421,0.8437696072280085,0.8448651365387837,0.0015344255803593527,0.9152657728169877,3.3986607084124524e-05
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,15,0.05,0.8266306770343222,0.8666862835036825,0.052949632123470335,0.9050879167062077,0.006824278782574992,0.8116672514269577,0.820869429755857,0.013623269792739109,0.8960445145626482,0.001596678907871627
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,15,0.1,0.8108063721464936,0.8312524284419117,0.02944289862085652,0.8955196807545801,0.0022671433062797655,0.7540115883191798,0.760134697578034,0.010570325539052886,0.8597566781662235,0.0007300969969375517
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,15,0.2,0.788118648609651,0.8104029335085525,0.033714112414071976,0.8815059886797237,0.0015008646285360045,0.6759391846361186,0.6803662646516458,0.00953468279437176,0.8066392752585221,0.0003476515518872754
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,15,0.3,0.757747995692234,0.794392523364486,0.0573831497469485,0.8621804690425133,0.0017055371335915604,0.629461632308318,0.6310606535783729,0.004009305548680889,0.7726007410393749,8.959047199800026e-05
