dataset,location,model_type,model_label,lead_minutes,threshold_m,seed_count,csi_mean,csi_std,pod_mean,pod_std,far_mean,far_std,f1_mean,f1_std,false_positive_rate_mean,false_positive_rate_std,persistence_csi_mean,persistence_csi_std,persistence_pod_mean,persistence_pod_std,persistence_far_mean,persistence_far_std,persistence_f1_mean,persistence_f1_std,persistence_false_positive_rate_mean,persistence_false_positive_rate_std
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,5,0.05,5,0.9289453564575665,0.0035731767825820703,0.941841516771998,0.0028461005109160138,0.01452570518471126,0.0024334288455294083,0.9631604386242925,0.0019191083280239902,0.0017144571805797276,0.0002916504343773228,0.9234984825346504,0.0,0.9289936801166747,0.0,0.006364458865004836,0.0,0.9602279293901281,0.0,0.0007345616035527816,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,5,0.1,5,0.920248202079408,0.0030869356532770937,0.9314968226016385,0.00347566129107719,0.012948603052483696,0.0010678207723426988,0.9584652816426165,0.0016749075814711703,0.0009167389269491614,7.84268540590925e-05,0.9001021543903518,0.0,0.9039889748105046,0.0,0.0047541177065596706,0.0,0.9474250132400379,0.0,0.0003238791999494657,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,5,0.2,5,0.9047946051882543,0.004214481787893202,0.9199946229331899,0.006790053856277439,0.01788933040831634,0.003044990542017554,0.9500128745080206,0.002328203131203139,0.0006947001852459655,0.00012510679129862026,0.8660321715817695,0.0,0.8684769458260518,0.0,0.003239940755369045,0.0,0.9282071175093027,0.0,0.00011682178003015115,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,5,0.3,5,0.8892819218967397,0.0034482957200416406,0.9118612832970346,0.007125519028063082,0.027012583444119283,0.0054097541294310355,0.9413932092480175,0.0019349194398586103,0.0006643833513864343,0.00014175496442135488,0.8437696072280085,0.0,0.8448651365387837,0.0,0.0015344255803593527,0.0,0.9152657728169877,0.0,3.3986607084124524e-05,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,15,0.05,5,0.8106329046416758,0.012285763785890037,0.862867923875133,0.008090987942837557,0.06919384394170298,0.020389044031825218,0.8953629273923098,0.007507262319551448,0.009114720770111146,0.0029694083064953844,0.8116672514269577,0.0,0.820869429755857,0.0,0.013623269792739109,0.0,0.8960445145626482,0.0,0.001596678907871627,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,15,0.1,5,0.8039796094065321,0.008571656410566118,0.8269550576350214,0.011237358134308366,0.03328136149580154,0.0066098165348924326,0.8913149565056397,0.005274597488611403,0.002567565994014835,0.0005433101537333367,0.7540115883191798,0.0,0.760134697578034,0.0,0.010570325539052886,0.0,0.8597566781662235,0.0,0.0007300969969375517,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,15,0.2,5,0.773528448792548,0.014430140794873215,0.7942220055533182,0.018332444020352317,0.032345198738433126,0.005367997896673438,0.8722294782532709,0.009224188475961433,0.0014155831151604205,0.0002693817558117519,0.6759391846361186,0.0,0.6803662646516458,0.0,0.00953468279437176,0.0,0.8066392752585221,0.0,0.0003476515518872754,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,15,0.3,5,0.7476283628222097,0.013359481515202437,0.7764285266261055,0.020634170243483255,0.04669777061223414,0.010840519792318242,0.8555244175886358,0.008831906928122944,0.0013531479437327593,0.00035853089707041066,0.629461632308318,0.0,0.6310606535783729,0.0,0.004009305548680889,0.0,0.7726007410393749,0.0,8.959047199800026e-05,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,30,0.05,5,0.7054805024955042,0.029446463845593525,0.8118370182433249,0.023150873871451854,0.15364415636911208,0.056896273834652886,0.8269583074751615,0.020368595171257192,0.025320570256655316,0.01233805048891633,0.6993339181373497,0.0,0.7103494623655914,0.0,0.021693237242483804,0.0,0.823068274778972,0.0,0.0025959221870457756,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,30,0.1,5,0.6915010585661954,0.01373533383825388,0.746511355529765,0.025435870460989145,0.09480876014205501,0.025345170515977174,0.8175397689159787,0.009663722159628579,0.008862805359579423,0.002927255741613199,0.6141999367955335,0.0,0.6208115503785177,0.0,0.017044017735219245,0.0,0.7609961105745386,0.0,0.0012005970922037191,0.0
